ShaftSize,ShaftUnits,SternSize,SternUnits,Priority,FSA_Template,Hose_Code,Hose_Orientation,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,Comments
2.25,in,3.5,in,3,FSA-2250-3250-1,HS 3000-3500,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.25,in,3.5,in,3,FSA-2250-3750-1,HS 3500-3500,A->Backend,CLAMP-4000,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.25,in,3.75,in,2,FSA-2250-3500-1,HS 3500-3750,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,3.75,in,3,FSA-2250-3750-1,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.25,in,3.75,in,4,FSA-2250-3750-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,3.75,in,5,FSA-2250-3000-1,HS 3000-3500,A->Backend,CLAMP-3000,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,3.75,in,5,FSA-2250-3500-1,HS 3500-3500,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.0,in,2,FSA-2250-3500-1,HS 3500-4000,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.0,in,3,FSA-2250-3750-1,HS 3500-4000,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.25,in,4.0,in,5,FSA-2250-3500-1,HS 3500-3750,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.0,in,5,FSA-2250-3750-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.0,in,6,FSA-2250-3750-1,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.25,in,4.25,in,5,FSA-2250-3500-1,HS 3500-4000,A->Backend,CLAMP-3500,2,CLAMP-4500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.25,in,5,FSA-2250-3500-1,HS 3500-4000,A->Backend,CLAMP-3500,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.25,in,6,FSA-2250-3750-1,HS 3500-4000,A->Backend,CLAMP-4000,2,CLAMP-4500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.5,in,3.25,in,2,FSA-2500-3250-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.25,in,3,FSA-2500-3500-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.25,in,4,FSA-2500-3250-1,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.25,in,4,FSA-2500-3500-1,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.25,in,5,FSA-2500-3500-1,HS 3000-3500,B->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.5,in,2,FSA-2500-3500-1,HS 3500-3500,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.5,in,2,FSA-2500-4000-1,HS 3500-4000,B->Backend,CLAMP-4000,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.5,in,3,FSA-2500-3250-1,HS 3000-3500,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.5,in,3,FSA-2500-4000-1,HS 3500-3750,B->Backend,CLAMP-4000,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.5,in,4,FSA-2500-3500-1,HOSE 3500,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.75,in,2,FSA-2500-3500-1,HS 3500-3750,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.75,in,4,FSA-2500-4000-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.75,in,5,FSA-2500-3500-1,HOSE 3500,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.75,in,5,FSA-2500-3500-1,HS 3500-3500,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.75,in,5,FSA-2500-4000-1,HS 3500-4000,B->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,4.0,in,2,FSA-2500-3500-1,HS 3500-4000,A->Backend,CLAMP-3500,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-4500-1,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
